item,visualizacion_,tipo_alerta_,estado,fecha_evento,fecha_actualizacion,ubigeo,afectacion,evento,latitud,longitud,_sort_,_fecha_actualizacion_,cant_vehiculos_detenidos_pasajeros,cant_vehiculos_detenidos_mercancias,fuente,motivo,codigo_via,nombre_carretera,alerta_activa_24_horas,style
140,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,04/01/2023,28/01/2023 10:30 HORAS,CUSCO/CANCHIS/SICUANI,KM 1112,(PUENTE ARTURO) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.2899364,-71.22169062,-14.2899364+-71.22169062,2023 10:30 HORAS+01+28+10:30,0,2,CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
134,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,04/01/2023,28/01/2023 10:30 HORAS,CUSCO/CANCHIS/MARANGANI,KM 1117,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.32725797,-71.19656118,-14.32725797+-71.19656118,2023 10:30 HORAS+01+28+10:30,0,3,CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
135,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,04/01/2023,28/01/2023 10:30 HORAS,CUSCO/CANCHIS/MARANGANI,KM 1121,(SECTOR MARANGANI) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.35259459,-71.17133801,-14.35259459+-71.17133801,2023 10:30 HORAS+01+28+10:30,0,0,CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
136,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,04/01/2023,28/01/2023 10:30 HORAS,CUSCO/CANCHIS/MARANGANI,KM 1125,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.37745309,-71.14440842,-14.37745309+-71.14440842,2023 10:30 HORAS+01+28+10:30,0,0,CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
137,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,04/01/2023,28/01/2023 10:30 HORAS,CUSCO/CANCHIS/MARANGANI,KM 1134,(SECTOR OCCOBAMBA) PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.43598487,-71.10007918,-14.43598487+-71.10007918,2023 10:30 HORAS+01+28+10:30,0,0,CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
130,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,17/01/2023,28/01/2023 10:30 HORAS,CUSCO/CANAS/LAYO,KM 1148,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.48281606,-70.98967694,-14.48281606+-70.98967694,2023 10:30 HORAS+01+28+10:30,0,0,CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
142,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,18/01/2023,28/01/2023 10:30 HORAS,CUSCO/CHUMBIVILCAS/VELILLE,KM 156,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.518064,-71.845324,-14.518064+-71.845324,2023 10:30 HORAS+01+28+10:30,0,0,COE-MTC,HUMANO,PE-3SG,CARRETERA CHALHUAHUACHO - ESPINAR - AYAVIRI,SI,interrumpido
270,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,05/01/2023,28/01/2023 10:30 HORAS,PUNO/AZANGARO/ASILLO,KM 99+500,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.5845795,-70.3293366,-14.5845795+-70.3293366,2023 10:30 HORAS+01+28+10:30,0,0,CEOPOL,HUMANO,PE-34B,VIA CALAPUJA - MACUSANI - LECHEMAYO,SI,interrumpido
305,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,17/01/2023,28/01/2023 10:30 HORAS,PUNO/MELGAR/SANTA ROSA,KM 1183,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.64521283,-70.74835125,-14.64521283+-70.74835125,2023 10:30 HORAS+01+28+10:30,0,0,CEOPOL,HUMANO,PE-3S,LONGITUDINAL DE LA SIERRA SUR,SI,interrumpido
146,SI,VIGENTE,TRÁNSITO INTERRUMPIDO,27/01/2023,28/01/2023 10:30 HORAS,CUSCO/ESPINAR/ESPINAR,KM 233,PARO INDEFINIDO SOLICITANDO NUEVAS ELECCIONES PRESIDENCIALES Y DISOLUCION DEL CONGRESO,-14.746865840736,-71.457178786002,-14.746865840736+-71.457178786002,2023 10:30 HORAS+01+28+10:30,0,0,COE-MTC,HUMANO,PE-3SG,CARRETERA CHALHUAHUACHO - ESPINAR - AYAVIRI,SI,interrumpido
